Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by MRERD Mortgage Repayments (monthly) Ranges"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"MRERD Mortgage Repayments (monthly) Ranges","$1-$149","$150-$299","$300-$449","$450-$599","$600-$799","$800-$999","$1,000-$1,199","$1,200-$1,399","$1,400-$1,599","$1,600-$1,799","$1,800-$1,999","$2,000-$2,199","$2,200-$2,399","$2,400-$2,599","$2,600-$2,799","$2,800-$2,999","$3,000-$3,499","$3,500-$3,999","$4,000-$4,999","$5,000 and over","Not stated","Not applicable","Nil repayments","Total",
"Singleton",22,16,48,47,75,143,177,304,315,386,275,455,169,123,209,107,291,97,131,63,216,5964,91,9726,
"Snowy Monaro",16,43,67,65,161,225,275,281,227,239,129,248,82,73,93,51,133,39,61,67,168,7498,93,10331,
"Snowy Valleys",11,21,56,48,128,175,217,216,143,146,86,131,45,19,35,14,43,6,32,12,85,4844,52,6560,
"Strathfield",33,17,42,42,58,79,143,163,180,227,271,646,329,273,247,103,426,161,325,628,378,13058,177,18035,
"Sutherland",268,221,390,338,510,737,954,1111,1150,1429,1253,2745,1424,1438,1990,1280,4669,2287,3800,3285,2026,55856,914,90062,
"Sydney",169,83,166,149,255,369,548,637,640,703,636,1576,761,959,987,699,2417,1156,1975,2639,1077,90014,791,109407,
"Tamworth",37,60,163,156,353,626,811,935,800,849,466,737,264,156,275,118,254,78,149,105,416,19130,190,27128,
"Temora",6,9,36,20,43,96,73,62,57,47,16,40,6,7,13,0,6,0,11,7,57,2028,26,2668,
"Tenterfield",11,15,40,26,56,73,74,60,33,42,22,40,15,3,3,0,15,6,4,3,51,2748,39,3389,
"The Hills",216,149,306,208,362,505,709,726,818,943,780,2064,994,1257,1418,999,4287,2435,4121,3948,2119,35710,1002,66085,
"Tweed",127,145,277,186,389,547,630,885,857,1075,861,1398,603,396,768,318,871,264,380,292,815,30964,375,43429,
"Upper Hunter",16,15,43,42,69,129,160,201,175,192,94,180,59,48,80,18,89,24,46,47,103,4386,71,6281,
"Upper Lachlan",14,0,25,14,51,61,90,131,99,110,73,94,31,37,48,21,46,16,20,31,58,2673,37,3798,
"Uralla",8,19,34,29,51,83,84,99,77,81,38,62,24,16,23,11,25,9,22,17,54,1750,19,2609,
"Wagga Wagga",45,72,163,153,325,573,867,1194,970,980,619,779,260,132,292,107,334,106,174,145,507,18707,205,27717,
"Walcha",3,5,14,7,24,31,27,12,15,13,9,17,3,7,5,0,9,4,10,13,23,1095,39,1373,
"Walgett",5,4,20,22,28,21,23,22,5,4,3,15,3,4,0,0,8,0,0,15,25,2323,56,2612,
"Warren",0,3,8,16,20,24,19,18,10,9,0,12,3,0,6,3,4,0,0,4,29,898,19,1121,
"Warrumbungle",6,21,64,66,92,91,81,76,47,32,9,33,4,5,14,6,20,7,14,28,65,3392,73,4267,
"Waverley",50,33,57,51,62,111,156,131,151,172,121,367,138,194,210,150,604,394,763,2050,569,23368,320,30215,
"Weddin",3,19,30,23,42,41,45,42,19,19,10,15,0,4,5,5,9,0,6,10,20,1291,27,1675,
"Wentworth",4,4,38,39,69,97,93,88,71,77,40,76,19,14,29,9,20,6,13,14,51,2208,31,3119,
"Willoughby",81,59,65,64,89,132,186,197,174,199,178,465,194,225,241,191,729,426,923,2221,525,22151,400,30112,
"Wingecarribee",62,75,116,100,162,241,295,400,403,453,433,739,390,296,422,250,635,245,389,469,457,15517,240,22794,
"Wollondilly",55,53,118,86,171,195,298,453,428,575,500,967,533,453,768,431,1130,430,622,416,575,10203,201,19650,
"Wollongong",218,196,412,365,637,875,1147,1485,1587,1958,1619,3010,1404,1141,1945,1086,2798,961,1399,933,1529,61159,713,88580,
"Woollahra",43,31,43,43,49,71,106,109,94,113,74,270,70,125,131,103,430,260,577,1966,439,18221,388,23753,
"Yass Valley",22,30,46,32,75,85,136,174,180,238,188,274,144,83,216,96,323,141,170,132,133,3776,61,6765,
"Unincorporated NSW",0,4,0,3,5,0,3,13,3,3,0,5,0,3,0,0,5,5,0,10,9,464,11,538,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,37,
"Total",8114,8105,15630,14209,25519,35867,46312,58004,55927,66473,51098,97499,46523,41862,55341,31334,95495,38753,63446,71747,65751,2247824,32997,3273823,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
