Australian Bureau of Statistics

"2021 Census - counting families, place of enumeration"
"LGA (EN) by FINF Total Family Income (weekly)"
"Counting: Family Records"

Filters:
"Default Summation","Family Records"

"FINF Total Family Income (weekly)","$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,499 ($104,000-$129,999)","$2,500-$2,999 ($130,000-$155,999)","$3,000-$3,499 ($156,000-$181,999)","$3,500-$3,999 ($182,000-$207,999)","$4,000-$4,499 ($208,000-$233,999)","$4,500-$4,999 ($234,000-$259,999)","$5,000-$5,999 ($260,000-$311,999)","$6,000-$7,999 ($312,000-$415,999)","$8,000 or more ($416,000 or more)","Negative income","Total",
"Walgett",3,8,7,22,38,104,85,86,97,38,48,109,69,36,29,15,25,3,6,8,12,859,
"Warren",4,5,0,11,20,44,34,49,44,42,46,66,51,44,22,14,17,3,6,6,12,544,
"Warrumbungle",9,16,23,96,77,268,170,198,217,135,148,248,142,86,49,25,43,14,16,18,19,2018,
"Waverley",44,51,43,136,126,327,328,517,590,509,601,1494,1212,1282,988,642,1761,1569,2169,1149,18,15551,
"Weddin",8,4,3,25,26,103,92,87,106,71,53,87,65,39,17,11,19,5,12,9,6,859,
"Wentworth",13,10,19,48,48,161,138,102,157,113,116,240,143,117,73,32,48,40,25,18,13,1677,
"Willoughby",136,113,111,269,287,530,559,747,925,734,852,1952,1414,1489,1085,668,2062,1722,2179,1288,40,19165,
"Wingecarribee",97,74,74,259,226,848,795,1004,1256,780,971,1825,1391,1125,630,318,725,560,455,214,45,13663,
"Wollondilly",47,43,71,223,230,770,639,806,962,771,817,1950,1621,1453,903,516,700,605,420,128,46,13732,
"Wollongong",233,275,379,1041,1208,3624,3269,3675,4209,3028,3212,6961,5676,4787,3259,1778,2528,2086,1475,456,142,53291,
"Woollahra",43,39,32,75,92,191,222,310,402,314,452,997,768,903,724,419,1592,1339,2099,1533,32,12589,
"Yass Valley",14,14,6,50,62,164,174,215,298,246,256,514,440,470,356,197,341,264,270,80,12,4446,
"Unincorporated NSW",0,0,0,4,8,8,6,17,18,14,21,31,24,18,10,0,5,0,4,6,6,212,
"Migratory - Offshore - Shipping (NSW)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Total",10066,11076,13386,38927,43525,124322,109521,131832,152760,112877,119696,260144,193823,163912,110114,62035,104907,85808,82304,31812,6440,1969289,

"Dataset: Census of Population and Housing, 2021, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
